QQQ (INVESCO QQQ TRUST, SERIES 1),178.99,-0.04,
Jul 22 2018 @ 02:52 ET,Bid,178.98,Ask,178.99,Size,5x34,Vol,35907619,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Jul 20 126.00 (QQQ1820G126-OG),0.0,0.0,50.84,55.09,0,1,2018 Jul 20 126.00 (QQQ1820S126-OG),0.12,0.0,0.0,2.13,0,498,
2018 Jul 20 126.00 (QQQ1820G126-P),44.78,0.0,0.0,0.0,0,1,2018 Jul 20 126.00 (QQQ1820S126-P),0.01,0.0,0.0,0.01,0,498,
2018 Jul 20 126.00 (QQQ1820G126-S),0.0,0.0,50.96,54.72,0,1,2018 Jul 20 126.00 (QQQ1820S126-S),0.02,0.0,0.0,1.88,0,498,
2018 Jul 20 126.00 (QQQ1820G126-X),0.0,0.0,52.37,53.63,0,1,2018 Jul 20 126.00 (QQQ1820S126-X),0.05,0.0,0.0,0.51,0,498,
2018 Jul 20 126.00 (QQQ1820G126-Y),0.0,0.0,50.50,55.50,0,1,2018 Jul 20 126.00 (QQQ1820S126-Y),0.05,0.0,0.0,0.01,0,498,
2018 Jul 20 127.00 (QQQ1820G127),0.0,0.0,51.37,52.50,0,0,2018 Jul 20 127.00 (QQQ1820S127),0.04,0.0,0.0,0.01,0,170,
2018 Jul 20 127.00 (QQQ1820G127-3),0.0,0.0,51.37,52.50,0,0,2018 Jul 20 127.00 (QQQ1820S127-3),0.0,0.0,0.0,0.52,0,170,
2018 Jul 20 127.00 (QQQ1820G127-4),0.0,0.0,51.37,52.50,0,0,2018 Jul 20 127.00 (QQQ1820S127-4),0.0,0.0,0.0,0.52,0,170,
2018 Jul 20 127.00 (QQQ1820G127-8),0.0,0.0,50.09,53.80,0,0,2018 Jul 20 127.00 (QQQ1820S127-8),0.0,0.0,0.0,1.88,0,170,
2018 Jul 20 127.00 (QQQ1820G127-A),0.0,0.0,0.0,0.0,0,0,2018 Jul 20 127.00 (QQQ1820S127-A),0.0,0.0,0.0,0.0,0,170,
2018 Jul 20 127.00 (QQQ1820G127-B),0.0,0.0,49.54,54.50,0,0,2018 Jul 20 127.00 (QQQ1820S127-B),0.0,0.0,0.0,2.13,0,170,
2018 Jul 20 127.00 (QQQ1820G127-E),0.0,0.0,50.09,53.84,0,0,2018 Jul 20 127.00 (QQQ1820S127-E),0.0,0.0,0.0,1.88,0,170,
2018 Jul 20 127.00 (QQQ1820G127-I),0.0,0.0,50.91,52.50,0,0,2018 Jul 20 127.00 (QQQ1820S127-I),0.05,0.0,0.0,0.75,0,170,
2018 Jul 20 127.00 (QQQ1820G127-J),0.0,0.0,51.17,52.70,0,0,2018 Jul 20 127.00 (QQQ1820S127-J),0.0,0.0,0.0,0.52,0,170,
2018 Jul 20 127.00 (QQQ1820G127-K),0.0,0.0,49.54,54.50,0,0,2018 Jul 20 127.00 (QQQ1820S127-K),0.0,0.0,0.0,5.00,0,170,
2018 Jul 20 127.00 (QQQ1820G127-O),0.0,0.0,51.37,52.50,0,0,2018 Jul 20 127.00 (QQQ1820S127-O),0.0,0.0,0.0,0.31,0,170,
2018 Jul 20 127.00 (QQQ1820G127-OG),0.0,0.0,49.84,54.09,0,0,2018 Jul 20 127.00 (QQQ1820S127-OG),0.04,0.0,0.0,2.13,0,170,
2018 Jul 20 127.00 (QQQ1820G127-P),0.0,0.0,0.0,0.0,0,0,2018 Jul 20 127.00 (QQQ1820S127-P),0.11,0.0,0.0,0.0,0,170,
